wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h
wv_3d_noisy,align=0.925_p=0.3,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.616,1.0,0.6420000000000001,0.6420000000000001,0.8575,0.8575,1.0,0.8425,0.8425,1.0,0.84,0.84,1.0,,,,,
wv_3d_noisy,align=0.925_p=0.4,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.5823333,1.0,0.58775,0.58775,0.7925,0.7925,1.0,0.81,0.81,1.0,0.815,0.815,1.0,,,,,
wv_3d_noisy,align=0.925_p=0.4,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9975,0.534,0.9975,0.575,0.575,0.7825,0.7825,1.0,0.83,0.83,0.9975,0.8325,0.8325,0.9975,,,,,
wv_3d_square_predicted_filtered,align=0.925,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.97683334,1.0,0.91975,0.91975,0.91,0.91,1.0,0.905,0.905,1.0,0.925,0.925,1.0,,,,,
wv_3d_square_predicted_filtered,align=0.83,TN,0,"[0, 1, 1, 1]",512,0.0,0.375,0.9701667,1.0,0.92875,0.92875,0.835,0.835,1.0,0.845,0.845,1.0,0.87,0.87,1.0,,,,,
wv_3d_square_predicted_filtered,align=0.8,TN,0,"[1, 0, 1, 1]",512,0.0,0.545,0.9705,1.0,0.9395,0.9395,0.7825,0.7825,1.0,0.795,0.795,1.0,0.81,0.81,1.0,,,,,
wv_3d_square_predicted_filtered,align=0.5,TN,0,"[0, 0, 1, 1]",512,0.0,0.46,0.9683333,1.0,0.9175,0.9175,0.5625,0.5625,1.0,0.56,0.56,1.0,0.54,0.54,1.0,,,,,
wv_3d_square_predicted_filtered,align=0.92,TN,0,"[1, 256, 256, 256]",512,0.0,0.3525,0.9701667,1.0,0.893,0.893,0.87,0.87,1.0,0.8925,0.8925,1.0,0.895,0.895,1.0,,,,,
wv_3d_noisy,align=0.925_p=0.5,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.49966666,1.0,0.48525,0.48525,0.72,0.72,0.8975,0.7875,0.7875,0.9675,0.8375,0.8375,0.98,,,,,
wv_3d_noisy,align=0.925_p=0.5,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.498,1.0,0.52625,0.52625,0.8825,0.8825,0.9675,0.9125,0.9125,0.9825,0.915,0.915,0.9875,,,,,
wv_3d_noisy,align=0.925_p=0.6,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.49783334,1.0,0.3465,0.3465,0.655,0.655,0.66,0.8225,0.8225,0.8125,0.865,0.865,0.8525,,,,,
wv_3d_noisy,align=0.925_p=0.6,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.49683332,0.9975,0.4595000000000001,0.4595000000000001,0.7625,0.7625,0.815,0.8675,0.8675,0.93,0.8875,0.8875,0.95,,,,,
wv_3d_square_predicted_filtered,align=1,TN,0,"[1, 1, 1, 1]",512,0.0,0.3575,0.9618333,1.0,0.8115,0.8115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
wv_3d_noisy,align=0.925_p=0.7,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.49883333,1.0,0.33175,0.33175,0.7,0.7,0.6225,0.8325,0.8325,0.8125,0.905,0.905,0.8475,,,,,
wv_3d_noisy,align=0.925_p=0.8,TN,0,"[256, 1, 256, 256]",512,0.0,0.46,0.50733334,1.0,0.3725,0.3725,0.6525,0.6525,0.5975,0.7925,0.7925,0.8225,0.8475,0.8475,0.9,,,,,
wv_3d_noisy,align=0.925_p=0.7,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.48316666,0.9975,0.36875,0.36875,0.7175,0.72,0.73,0.8525,0.85,0.8975,0.89,0.8875,0.915,,,,,
wv_3d_noisy,align=0.925_p=0.8,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9925,0.49283332,0.9975,0.4295,0.4295,0.745,0.745,0.6875,0.85,0.8525,0.92,0.8875,0.8875,0.96,,,,,
wv_3d_square_predicted_filtered,align=1_filtered,MTL0.5,0,"[1, 1, 1, 1]",512,0.5,0.9975,0.9691078,0.9975,0.8082499999999999,0.8082499999999999,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0.9975,0.9975,1.0,,,,,
wv_3d_square_predicted_filtered,align=0.92_filtered,MTL0.5,0,"[1, 256, 256, 256]",512,0.5,0.995,0.969651,1.0,0.87775,0.87775,0.9525,0.9525,1.0,0.945,0.945,1.0,0.9325,0.9325,1.0,,,,,
wv_3d_square_predicted_filtered,align=0.83_filtered,MTL0.5,0,"[0, 1, 1, 1]",512,0.5,0.995,0.97231764,0.9975,0.90325,0.90325,0.975,0.975,1.0,0.9425,0.9425,1.0,0.9175,0.9175,1.0,,,,,
wv_3d_square_predicted_filtered,align=0.5_filtered,MTL0.5,0,"[0, 0, 1, 1]",512,0.5,0.995,0.9764706,1.0,0.91725,0.91725,0.7425,0.7425,1.0,0.69,0.69,1.0,0.6575,0.6575,1.0,,,,,
wv_3d_square_predicted_filtered,align=0.8_filtered,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.995,0.97770566,1.0,0.91425,0.91425,0.92,0.92,1.0,0.8875,0.8875,1.0,0.845,0.845,1.0,,,,,
wv_3d_square_predicted_filtered,align=0.925_filtered,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.9729729,1.0,0.8717500000000001,0.8717500000000001,0.9375,0.9375,1.0,0.96,0.96,1.0,0.9475,0.9475,1.0,,,,,
wv_3d_noisy,align=0.925_p=0.8,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.6866652,0.9975,0.35475,0.35475,0.7975,0.7975,0.6975,0.92,0.92,0.825,0.9575,0.9575,0.86,,,,,
wv_3d_noisy,align=0.925_p=0.7,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.6674188,1.0,0.42625,0.42625,0.7575,0.7575,0.7825,0.87,0.87,0.9475,0.925,0.925,0.97,,,,,
wv_3d_noisy,align=0.925_p=0.6,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.67339617,1.0,0.36725,0.36725,0.725,0.725,0.6875,0.8725,0.8725,0.8575,0.92,0.92,0.8925,,,,,
wv_3d_noisy,align=0.925_p=0.4,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9975,0.70339173,1.0,0.55975,0.55975,0.9675,0.9675,0.99,0.94,0.94,0.9875,0.94,0.94,0.9875,,,,,
wv_3d_noisy,align=0.925_p=0.3,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.7434095,1.0,0.7045,0.7045,0.9575,0.9575,0.9925,0.955,0.955,0.9925,0.955,0.955,0.9925,,,,,
wv_3d_noisy,align=0.925_p=0.5,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.67150515,1.0,0.45875,0.45875,0.93,0.93,0.93,0.9625,0.9625,0.98,0.9775,0.9775,0.99,,,,,
wv_3d_noisy,align=0.925_p=0.2,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.80637366,0.9975,0.72875,0.72875,0.9625,0.96,1.0,0.955,0.9525,1.0,0.9475,0.9475,1.0,,,,,
wv_3d_noisy,align=0.925_p=0.1,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.9975,0.8851498,1.0,0.8234999999999999,0.8234999999999999,0.9575,0.9575,1.0,0.9525,0.9525,1.0,0.9575,0.9575,1.0,,,,,
wv_3d_num_triplets,align=0.925_p=0.0078125,TN,0,"[256, 1, 256, 256]",512,0.0,,,1.0,0.69675,0.69675,0.8625,0.8625,1.0,0.8925,0.8925,1.0,0.9075,0.9075,1.0,,,,,
wv_3d_num_triplets,align=0.925_p=0.0625,TN,0,"[256, 1, 256, 256]",512,0.0,,,1.0,0.7505,0.7505,0.845,0.845,1.0,0.8525,0.8525,1.0,0.855,0.855,1.0,,,,,
wv_3d_num_triplets,align=0.925_p=0.03125,TN,0,"[256, 1, 256, 256]",512,0.0,,,1.0,0.7497499999999999,0.7497499999999999,0.83,0.83,1.0,0.845,0.845,1.0,0.87,0.87,1.0,,,,,
wv_3d_num_triplets,align=0.925_p=0.015625,TN,0,"[256, 1, 256, 256]",512,0.0,,,1.0,0.7252500000000001,0.7252500000000001,0.7825,0.7825,1.0,0.83,0.83,1.0,0.8375,0.8375,1.0,,,,,
wv_3d_num_triplets,align=0.925_p=0.125,TN,0,"[256, 1, 256, 256]",512,0.0,,,1.0,0.80525,0.80525,0.815,0.815,1.0,0.84,0.84,1.0,0.865,0.865,1.0,,,,,
wv_3d_num_triplets,align=0.925_p=0.0078125,TN,0,"[256, 1, 256, 256]",512,0.0,,,1.0,0.6887500000000001,0.6887500000000001,0.875,0.875,1.0,0.915,0.915,1.0,0.925,0.925,1.0,,,,,
wv_3d_num_triplets,align=0.925_p=0.25,TN,0,"[256, 1, 256, 256]",512,0.0,,,1.0,0.8362499999999999,0.8362499999999999,0.8475,0.8475,1.0,0.855,0.855,1.0,0.875,0.875,1.0,,,,,
wv_3d_num_triplets,align=0.925_p=0.5,TN,0,"[256, 1, 256, 256]",512,0.0,,,1.0,0.85825,0.85825,0.815,0.815,1.0,0.8725,0.8725,1.0,0.91,0.91,1.0,,,,,
wv_3d_square_predicted_filtered,align=0.8_filtered,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.9975,0.9761905,0.995,0.909,0.909,0.8825,0.8825,0.9975,0.8425,0.8425,0.9975,0.8075,0.8075,0.9975,,,,,
wv_3d_square_predicted_filtered,align=1_filtered,MTL0.5,0,"[1, 1, 1, 1]",512,0.5,0.995,0.96802765,0.995,0.8089999999999999,0.8089999999999999,0.9975,0.995,0.995,1.0,0.9975,0.995,1.0,1.0,0.995,,,,,
wv_3d_square_predicted_filtered,align=0.925_filtered,MTL0.5,0,"[256, 1, 256, 256]",512,0.5,0.995,0.9785946,0.9975,0.8695,0.8695,0.9075,0.9075,0.995,0.9375,0.9375,0.995,0.9325,0.9325,0.995,,,,,
wv_3d_square_predicted_filtered,align=0.92_filtered,MTL0.5,0,"[1, 256, 256, 256]",512,0.5,0.995,0.96726644,0.995,0.874,0.874,0.925,0.925,0.995,0.9275,0.9275,0.995,0.93,0.93,0.995,,,,,
wv_3d_square_predicted_filtered,align=0.83_filtered,MTL0.5,0,"[0, 1, 1, 1]",512,0.5,0.995,0.973176,0.995,0.91275,0.91275,0.965,0.965,0.995,0.9275,0.9275,0.995,0.8925,0.8925,0.995,,,,,
wv_3d_square_predicted_filtered,align=0.5_filtered,MTL0.5,0,"[0, 0, 1, 1]",512,0.5,0.9975,0.9726244,0.9975,0.91725,0.91725,0.7825,0.7825,0.9975,0.6875,0.6875,0.9975,0.705,0.705,0.9975,,,,,
wv_3d_linear_filtered,align=0.5,RESN,0,"[0, 0, 1, 1]",512,1.0,0.97738695,0.6702104,0.984924623115578,,,,,,,,,,,,0.6809045226130653,0.6834170854271356,0.7361809045226131,,
wv_3d_linear_filtered,wv_3d_linear_RESN,RESN,0,"[0, 0, 1, 1]",512,1.0,0.9849246,0.6657807,0.984924623115578,,,,,,,,,,,,0.5050251256281407,0.5050251256281407,0.6055276381909548,,
wv_3d_linear_filtered,wv_3d_linear_RESN,RESN,1,"[0, 0, 1, 1]",512,1.0,0.99246234,0.6655593,0.992462311557789,,,,,,,,,,,,0.5804020100502513,0.5804020100502513,0.6834170854271356,,
wv_3d_linear_filtered,wv_3d_linear_RESN,RESN,2,"[0, 0, 1, 1]",512,1.0,0.98994976,0.66312295,0.984924623115578,,,,,,,,,,,,0.6331658291457286,0.6306532663316583,0.7110552763819096,,
wv_3d_linear,align=0.62,MTL0.2,0,"[0, 1, 0, 0]",512,0.2,0.99246234,0.98105216,0.9949748743718592,,,,,,,,,,,,0.7839195979899497,0.7839195979899497,0.992462311557789,0.8655778894472362,0.9401172529313232
wv_3d_linear,align=0.67,RESN,0,"[1, 0, 0, 0]",512,1.0,0.9849246,0.73614776,0.9874371859296482,,,,,,,,,,,,0.9020100502512562,0.9020100502512562,0.9045226130653268,,
wv_3d_linear_unfiltered,align=0.62,RESN,0,"[0, 1, 0, 0]",512,1.0,0.9849246,0.6385,0.984924623115578,,,,,,,,,,,,0.8894472361809045,0.8894472361809045,0.9221105527638191,,
wv_3d_linear,align=0.67,TN,0,"[1, 0, 0, 0]",512,0.0,0.37688443,0.97402066,0.9698492462311558,,,,,,,,,,,,0.6306532663316583,0.6306532663316583,0.9698492462311558,0.84463986599665,0.9773869346733668
wv_3d_linear,align=0.67,MTL0.8,0,"[1, 0, 0, 0]",512,0.8,0.9849246,0.9754414,0.984924623115578,,,,,,,,,,,,0.8768844221105527,0.8768844221105527,0.984924623115578,0.8224455611390286,0.8940536013400334
wv_3d_linear,align=0.67,MTL0.5,0,"[1, 0, 0, 0]",512,0.5,0.98994976,0.9756444,0.992462311557789,,,,,,,,,,,,0.8366834170854272,0.8366834170854272,0.9899497487437184,0.8253768844221105,0.930067001675042
wv_3d_linear,align=0.67,MTL0.2,0,"[1, 0, 0, 0]",512,0.2,0.98994976,0.9782829,0.9874371859296482,,,,,,,,,,,,0.8140703517587939,0.8140703517587939,0.9899497487437184,0.8291457286432161,0.946817420435511
wv_3d_linear,align=0.95,MTL0.2,0,"[2048, 1, 0, 0]",512,0.2,0.98241204,0.98106366,0.9874371859296482,,,,,,,,,,,,0.864321608040201,0.8668341708542714,0.9824120603015076,0.8329145728643216,0.9317420435510888
wv_3d_linear_unfiltered,align=0.62,TN,0,"[0, 1, 0, 0]",512,0.0,0.6356784,0.9816667,0.8844221105527639,,,,,,,,,,,,0.6206030150753769,0.6206030150753769,0.8844221105527639,0.8886097152428811,0.9815745393634842
wv_3d_linear_unfiltered,align=0.67,TN,0,"[1, 0, 0, 0]",512,0.0,0.5025126,0.9805,0.864321608040201,,,,,,,,,,,,0.5904522613065326,0.5904522613065326,0.864321608040201,0.8668341708542714,0.9819932998324958
wv_3d_linear_unfiltered,align=0.67,MTL0.2,0,"[1, 0, 0, 0]",512,0.2,0.97738695,0.9783333,0.9899497487437184,,,,,,,,,,,,0.6859296482412061,0.678391959798995,0.9773869346733668,0.838358458961474,0.9660804020100504
wv_3d_linear_unfiltered,align=0.62,MTL0.8,0,"[0, 1, 0, 0]",512,0.8,0.9874372,0.95916665,0.9899497487437184,,,,,,,,,,,,0.6733668341708543,0.6683417085427136,0.9874371859296482,0.8689279731993299,0.9639865996649916
wv_3d_linear_unfiltered,align=0.67,MTL0.8,0,"[1, 0, 0, 0]",512,0.8,0.99497485,0.9658333,0.992462311557789,,,,,,,,,,,,0.7236180904522613,0.7261306532663316,0.9949748743718592,0.8287269681742043,0.946817420435511
wv_3d_linear_unfiltered,align=0.62,MTL0.5,0,"[0, 1, 0, 0]",512,0.5,0.9874372,0.9695,0.9899497487437184,,,,,,,,,,,,0.6834170854271356,0.6809045226130653,0.9874371859296482,0.8731155778894472,0.9568676716917924
wv_3d_linear_unfiltered,align=0.67,MTL0.5,0,"[1, 0, 0, 0]",512,0.5,0.9849246,0.9773333,0.9874371859296482,,,,,,,,,,,,0.6809045226130653,0.6859296482412061,0.984924623115578,0.8350083752093802,0.9585427135678392
wv_3d_linear,align=0.62,TN,0,"[0, 1, 0, 0]",512,0.0,0.1959799,0.9842773,0.9698492462311558,,,,,,,,,,,,0.6532663316582915,0.6532663316582915,0.9698492462311558,0.8953098827470686,0.9698492462311558
wv_3d_linear,align=0.95,TN,0,"[2048, 1, 0, 0]",512,0.0,0.5025126,0.98146653,0.9748743718592964,,,,,,,,,,,,0.8040201005025126,0.8040201005025126,0.9748743718592964,0.8463149078726967,0.9736180904522612
wv_3d_linear,align=0.62,MTL0.5,0,"[0, 1, 0, 0]",512,0.5,0.96482414,0.98266476,0.9748743718592964,,,,,,,,,,,,0.7763819095477387,0.7738693467336684,0.964824120603015,0.8576214405360134,0.916247906197655
wv_3d_linear,align=0.62,MTL0.2,0,"[0, 1, 0, 0]",512,0.2,0.97738695,0.97923803,0.992462311557789,,,,,,,,,,,,0.7939698492462312,0.7914572864321608,0.9773869346733668,0.8630653266331659,0.9367671691792294
wv_3d_linear,align=0.62,MTL0.8,0,"[0, 1, 0, 0]",512,0.8,0.9849246,0.9760129,0.9899497487437184,,,,,,,,,,,,0.8115577889447236,0.8090452261306532,0.984924623115578,0.8446398659966499,0.914572864321608
wv_3d_linear,align=0.95,MTL0.8,0,"[2048, 1, 0, 0]",512,0.8,0.98241204,0.9719984,0.984924623115578,,,,,,,,,,,,0.8768844221105527,0.8768844221105527,0.9824120603015076,0.8257956448911222,0.8978224455611391
wv_3d_linear,align=0.96,MTL0.2,0,"[1, 2048, 0, 0]",512,0.2,0.98241204,0.97218275,0.9899497487437184,,,,,,,,,,,,0.8819095477386935,0.8819095477386935,0.9824120603015076,0.8651591289782244,0.9325795644891124
wv_3d_linear,align=0.95,MTL0.5,0,"[2048, 1, 0, 0]",512,0.5,0.9723618,0.97018534,0.9874371859296482,,,,,,,,,,,,0.9020100502512562,0.8969849246231156,0.9723618090452262,0.8132328308207706,0.914572864321608
wv_3d_linear_unfiltered,align=0.95,TN,0,"[2048, 1, 0, 0]",512,0.0,0.3115578,0.9845,0.8693467336683417,,,,,,,,,,,,0.8015075376884422,0.8015075376884422,0.8693467336683417,0.8626465661641541,0.9773869346733668
wv_3d_linear_unfiltered,align=0.62,MTL0.2,0,"[0, 1, 0, 0]",512,0.2,0.97738695,0.974,0.9949748743718592,,,,,,,,,,,,0.7160804020100503,0.7085427135678392,0.9773869346733668,0.9011725293132328,0.9656616415410384
wv_3d_linear_unfiltered,align=0.95,MTL0.8,0,"[2048, 1, 0, 0]",512,0.8,0.98994976,0.96783334,0.992462311557789,,,,,,,,,,,,0.8542713567839196,0.8542713567839196,0.9899497487437184,0.8371021775544388,0.9597989949748744
wv_3d_linear,align=0.67,TN,1,"[1, 0, 0, 0]",512,0.0,0.34924623,0.9807185,0.9874371859296482,,,,,,,,,,,,0.6809045226130653,0.6809045226130653,0.9874371859296482,0.8521775544388609,0.9769681742043552
wv_3d_linear_unfiltered,align=0.95,MTL0.5,0,"[2048, 1, 0, 0]",512,0.5,0.98994976,0.97183335,0.9874371859296482,,,,,,,,,,,,0.8417085427135679,0.8417085427135679,0.9899497487437184,0.8383584589614741,0.966499162479062
wv_3d_linear,align=0.67,MTL0.5,1,"[1, 0, 0, 0]",512,0.5,0.9748744,0.9762533,0.9874371859296482,,,,,,,,,,,,0.821608040201005,0.821608040201005,0.9748743718592964,0.8375209380234505,0.923785594639866
wv_3d_linear,align=0.67,MTL0.8,1,"[1, 0, 0, 0]",512,0.8,0.98994976,0.9746296,0.992462311557789,,,,,,,,,,,,0.8517587939698492,0.8517587939698492,0.9899497487437184,0.8161641541038526,0.9141541038525964
wv_3d_linear,align=0.67,MTL0.2,1,"[1, 0, 0, 0]",512,0.2,0.9849246,0.9772681,0.984924623115578,,,,,,,,,,,,0.7889447236180904,0.7864321608040201,0.984924623115578,0.8245393634840871,0.9396984924623116
wv_3d_linear,align=0.95,MTL0.2,1,"[2048, 1, 0, 0]",512,0.2,0.959799,0.97602737,0.9773869346733668,,,,,,,,,,,,0.8190954773869347,0.821608040201005,0.9597989949748744,0.8358458961474037,0.9413735343383584
wv_3d_linear_unfiltered,align=0.62,TN,1,"[0, 1, 0, 0]",512,0.0,0.69849247,0.981,0.8944723618090452,,,,,,,,,,,,0.5628140703517588,0.5628140703517588,0.8944723618090452,0.9120603015075378,0.9828308207705192
wv_3d_linear_unfiltered,align=0.67,TN,1,"[1, 0, 0, 0]",512,0.0,0.5025126,0.97866666,0.8567839195979899,,,,,,,,,,,,0.6005025125628141,0.6005025125628141,0.8567839195979899,0.861390284757119,0.9790619765494138
wv_3d_linear_unfiltered,align=0.67,MTL0.2,1,"[1, 0, 0, 0]",512,0.2,0.9974874,0.97466666,0.992462311557789,,,,,,,,,,,,0.7236180904522613,0.7236180904522613,0.9974874371859296,0.8433835845896147,0.9744556113902848
wv_3d_linear_unfiltered,align=0.62,MTL0.8,1,"[0, 1, 0, 0]",512,0.8,0.98994976,0.9658333,0.992462311557789,,,,,,,,,,,,0.7160804020100503,0.7185929648241206,0.9899497487437184,0.8576214405360134,0.9610552763819096
wv_3d_linear_unfiltered,align=0.67,MTL0.8,1,"[1, 0, 0, 0]",512,0.8,0.99497485,0.9618333,0.9949748743718592,,,,,,,,,,,,0.7964824120603015,0.7964824120603015,0.9949748743718592,0.8408710217755444,0.9409547738693468
wv_3d_linear_unfiltered,align=0.67,MTL0.5,1,"[1, 0, 0, 0]",512,0.5,0.9798995,0.969,0.9824120603015076,,,,,,,,,,,,0.7462311557788944,0.7462311557788944,0.9798994974874372,0.8668341708542714,0.9669179229480735
wv_3d_linear_unfiltered,align=0.62,MTL0.5,1,"[0, 1, 0, 0]",512,0.5,0.98994976,0.9708333,0.9899497487437184,,,,,,,,,,,,0.7412060301507538,0.7437185929648241,0.9899497487437184,0.8630653266331659,0.9606365159128978
wv_3d_linear,align=0.62,TN,1,"[0, 1, 0, 0]",512,0.0,0.7361809,0.9822616,0.9824120603015076,,,,,,,,,,,,0.6708542713567839,0.6708542713567839,0.9824120603015076,0.8860971524288107,0.9752931323283082
wv_3d_linear,align=0.95,TN,1,"[2048, 1, 0, 0]",512,0.0,0.5025126,0.9742143,0.9824120603015076,,,,,,,,,,,,0.7613065326633166,0.7613065326633166,0.9824120603015076,0.8505025125628141,0.9690117252931324
wv_3d_linear,align=0.67,TN,2,"[1, 0, 0, 0]",512,0.0,0.75376886,0.9799066,0.9773869346733668,,,,,,,,,,,,0.6633165829145728,0.6633165829145728,0.9773869346733668,0.8450586264656618,0.9736180904522612
wv_3d_linear,align=0.62,MTL0.5,1,"[0, 1, 0, 0]",512,0.5,0.97738695,0.98064905,0.984924623115578,,,,,,,,,,,,0.8291457286432161,0.8341708542713567,0.9773869346733668,0.8601340033500837,0.8969849246231156
wv_3d_linear,align=0.62,MTL0.8,1,"[0, 1, 0, 0]",512,0.8,0.98994976,0.98185843,0.9949748743718592,,,,,,,,,,,,0.7788944723618091,0.7738693467336684,0.9899497487437184,0.8299832495812396,0.91750418760469
wv_3d_linear,align=0.62,MTL0.2,1,"[0, 1, 0, 0]",512,0.2,0.9874372,0.97964114,0.9899497487437184,,,,,,,,,,,,0.7738693467336684,0.7688442211055276,0.9874371859296482,0.8530150753768845,0.9363484087102176
wv_3d_linear,align=0.67,MTL0.5,2,"[1, 0, 0, 0]",512,0.5,0.98994976,0.97706515,0.9874371859296482,,,,,,,,,,,,0.7839195979899497,0.7864321608040201,0.9899497487437184,0.836683417085427,0.9292294807370184
wv_3d_linear,align=0.67,MTL0.8,2,"[1, 0, 0, 0]",512,0.8,0.9572864,0.9707733,0.9874371859296482,,,,,,,,,,,,0.8391959798994975,0.8241206030150754,0.957286432160804,0.8128140703517589,0.9309045226130652
wv_3d_linear,align=0.96,MTL0.2,1,"[1, 2048, 0, 0]",512,0.2,0.9723618,0.98517764,0.9824120603015076,,,,,,,,,,,,0.8391959798994975,0.8417085427135679,0.9723618090452262,0.8601340033500838,0.9560301507537688
wv_3d_linear,align=0.95,MTL0.8,1,"[2048, 1, 0, 0]",512,0.8,0.9874372,0.9742143,0.9824120603015076,,,,,,,,,,,,0.8844221105527639,0.8819095477386935,0.9874371859296482,0.8132328308207706,0.9300670016750416
wv_3d_linear_unfiltered,align=0.95,TN,1,"[2048, 1, 0, 0]",512,0.0,0.5025126,0.9835,0.8869346733668342,,,,,,,,,,,,0.8291457286432161,0.8291457286432161,0.8869346733668342,0.8710217755443885,0.9782244556113904
wv_3d_linear,align=0.95,MTL0.5,1,"[2048, 1, 0, 0]",512,0.5,0.9748744,0.97985494,0.9798994974874372,,,,,,,,,,,,0.8793969849246231,0.8768844221105527,0.9748743718592964,0.8316582914572864,0.9057788944723616
wv_3d_linear,align=0.67,MTL0.2,2,"[1, 0, 0, 0]",512,0.2,0.9798995,0.97747105,0.9824120603015076,,,,,,,,,,,,0.8492462311557789,0.8517587939698492,0.9798994974874372,0.8505025125628141,0.945142378559464
wv_3d_linear,align=0.95,MTL0.2,2,"[2048, 1, 0, 0]",512,0.2,0.9798995,0.97824335,0.9798994974874372,,,,,,,,,,,,0.8618090452261307,0.8668341708542714,0.9798994974874372,0.833752093802345,0.9313232830820772
